,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
1087,10538208,0.69,False,Centrum-West,52.38,4.887,Private room,2,1,1,4,140.0,3,1125,True,9,4,4.54,True,70.0,420.0,0.06,0.13,0.17,4.99,0.024657534246575342,500.93150684931504
1088,10549599,0.16,False,Centrum-Oost,52.38,4.906,Entire home/apt,2,1,1,9,240.0,10,30,True,14,0,4.74,False,120.0,2400.0,0.08,0.14,0.28,4.99,0.9178082191780822,1200.0
1089,10569785,0.0,False,Geuzenveld - Slotermeer,52.38,4.836,Private room,2,1,1,3,55.0,10,90,True,0,0,4.16,False,27.5,550.0,0.06,0.13,0.17,2.99,0.0,288.47945205479454
1090,10584731,0.92,False,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,2,1,1,11,125.0,2,1125,True,0,0,4.94,False,62.5,250.0,0.06,0.15,0.19,4.99,,
1091,10586291,0.42,False,De Aker - Nieuw Sloten,52.34,4.773,Entire home/apt,4,2,4,5,196.0,2,1125,True,0,0,4.64,False,49.0,392.0,0.1,0.14,0.21,4.99,,
1092,10593371,0.5,False,Centrum-West,52.38,4.883,Entire home/apt,2,1,1,11,151.0,3,1125,True,9,1,4.96,False,75.5,453.0,0.07,0.12,0.23,4.99,0.26575342465753427,742.082191780822
1093,10625213,0.67,False,De Baarsjes - Oud-West,52.38,4.863,Entire home/apt,2,1,2,3,140.0,3,1125,True,0,0,4.71,False,70.0,420.0,0.06,0.15,0.2,4.99,0.0,700.0
1094,10700796,1.0,False,De Baarsjes - Oud-West,52.34,4.86,Private room,2,1,1,7,180.0,2,120,True,2,0,4.97,True,90.0,360.0,0.07,0.21,0.12,4.99,,
1095,10817619,0.45,False,De Pijp - Rivierenbuurt,52.34,4.902,Entire home/apt,2,1,1,10,170.0,3,7,True,0,1,4.89,False,85.0,510.0,0.09,0.24,0.2,4.99,0.0,850.0
1096,10823505,0.57,False,Noord-West,52.4,4.902,Entire home/apt,8,4,6,4,150.0,5,1125,True,0,0,4.81,False,18.75,750.0,0.07,0.12,0.21,4.99,0.4328767123287671,775.7534246575342
1097,10920384,0.66,False,Centrum-Oost,52.38,4.887,Entire home/apt,2,1,1,10,199.0,1,1125,True,3,7,4.5,True,99.5,199.0,0.09,0.22,0.2,4.99,,
1098,11000373,1.0,False,IJburg - Zeeburgereiland,52.34,5.0,Entire home/apt,4,2,5,11,257.0,4,14,True,0,0,4.9,False,64.25,1028.0,0.05,0.24,0.31,4.99,0.1232876712328767,1333.5616438356165
1099,11035643,0.0,False,IJburg - Zeeburgereiland,52.38,4.957,Private room,2,1,2,1,55.0,4,1125,True,0,0,4.45,False,27.5,220.0,0.04,0.13,0.15,2.99,0.0136986301369863,275.0
1100,11054922,0.0,False,Centrum-West,52.38,4.88,Entire home/apt,4,2,4,10,299.0,5,1125,True,0,1,4.85,False,74.75,1495.0,0.17,0.15,0.15,4.99,0.4383561643835616,1495.0
1101,11090880,0.98,False,De Baarsjes - Oud-West,52.38,4.85,Private room,4,1,2,1,97.0,3,31,True,1,2,4.48,True,24.25,291.0,0.06,0.11,0.15,4.99,0.6904109589041096,421.3835616438356
1102,11097614,1.0,True,Centrum-West,52.38,4.887,Entire home/apt,4,2,2,18,453.0,1,1125,True,0,2,4.61,True,113.25,453.0,0.1,0.15,0.25,10.99,,
1103,11098408,1.0,False,De Aker - Nieuw Sloten,52.34,4.797,Private room,1,1,1,3,31.0,30,1125,True,0,0,4.29,True,31.0,930.0,0.08,0.1,0.15,0.99,0.5945205479452055,261.09589041095893
1104,11113843,0.75,False,Westerpark,52.38,4.875,Entire home/apt,2,1,1,3,99.0,2,7,True,0,1,4.93,False,49.5,198.0,0.05,0.15,0.16,4.99,,
1105,11161348,1.0,True,Centrum-Oost,52.38,4.883,Private room,2,1,1,7,143.0,1,1124,True,3,5,4.87,False,71.5,143.0,0.07,0.11,0.19,4.99,0.9178082191780822,676.068493150685
1106,11161861,1.0,True,Centrum-Oost,52.38,4.883,Private room,2,1,1,7,145.0,1,1124,True,7,5,4.8,False,72.5,145.0,0.06,0.08,0.18,4.99,0.873972602739726,639.7945205479452
1107,11165921,0.87,True,Centrum-Oost,52.38,4.887,Entire home/apt,2,1,1,7,132.0,3,30,True,0,5,4.82,False,66.0,396.0,0.07,0.13,0.14,4.99,0.06575342465753424,664.1095890410959
1108,11175840,0.56,False,De Pijp - Rivierenbuurt,52.34,4.895,Entire home/apt,2,1,1,10,135.0,3,1125,True,2,0,4.96,False,67.5,405.0,0.06,0.21,0.15,4.99,0.04657534246575343,744.5068493150685
1109,11178448,1.0,False,De Baarsjes - Oud-West,52.34,4.86,Private room,2,1,2,6,180.0,2,120,True,0,0,4.97,True,90.0,360.0,0.09,0.17,0.22,4.99,,
1110,11204463,0.82,False,De Baarsjes - Oud-West,52.38,4.85,Private room,2,1,1,6,155.0,3,1125,True,8,0,4.76,False,77.5,465.0,0.08,0.1,0.18,4.99,0.1506849315068493,775.0
1111,11215477,1.0,False,Bos en Lommer,52.38,4.848,Private room,4,1,2,12,150.0,2,1125,True,6,0,4.69,True,37.5,300.0,0.06,0.24,0.2,4.99,,
1112,11217131,0.14,False,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,4,2,2,10,300.0,3,30,True,0,0,5.0,False,75.0,900.0,0.1,0.14,0.18,4.99,0.019178082191780823,1605.3698630136987
1113,11239298,0.74,True,Centrum-Oost,52.38,4.887,Entire home/apt,2,1,1,4,136.0,3,30,True,2,4,4.79,True,68.0,408.0,0.06,0.16,0.21,4.99,0.07945205479452055,687.986301369863
1114,11252596,1.0,False,Bos en Lommer,52.38,4.848,Private room,4,1,2,4,100.0,1,1125,True,0,2,4.78,True,25.0,100.0,0.07,0.13,0.19,4.99,,
1115,11265870,0.81,True,Centrum-West,52.38,4.89,Private room,2,1,1,5,112.0,2,1125,True,0,4,4.97,True,56.0,224.0,0.07,0.16,0.16,4.99,,
1116,11267148,1.0,False,Westerpark,52.38,4.87,Entire home/apt,2,1,2,4,130.0,2,1125,True,0,0,4.96,False,65.0,260.0,0.06,0.16,0.15,4.99,,
1117,11306432,0.78,False,De Pijp - Rivierenbuurt,52.34,4.895,Entire home/apt,4,2,3,11,275.0,3,7,True,0,0,4.91,False,68.75,825.0,0.05,0.33,0.3,4.99,0.0,1375.0
1118,11317473,0.54,False,De Pijp - Rivierenbuurt,52.34,4.895,Entire home/apt,4,2,3,13,361.0,4,1125,True,1,2,4.88,False,90.25,1444.0,0.09,0.24,0.26,4.99,0.010958904109589041,1703.4246575342465
1119,11347669,0.4,False,De Pijp - Rivierenbuurt,52.34,4.89,Private room,2,1,3,4,62.0,2,1125,True,0,4,4.55,False,31.0,124.0,0.06,0.1,0.16,2.99,,
1120,11354028,0.74,True,Centrum-Oost,52.38,4.906,Private room,2,1,2,10,145.0,3,30,True,0,0,4.88,True,72.5,435.0,0.05,0.16,0.23,4.99,0.0958904109589041,819.8219178082192
1121,11358343,0.92,False,Watergraafsmeer,52.34,4.926,Entire home/apt,3,2,1,7,140.0,3,30,True,2,1,4.85,False,46.66,420.0,0.07,0.1,0.2,4.99,0.005479452054794521,700.0
1122,11386080,0.5,False,Westerpark,52.38,4.88,Entire home/apt,2,1,1,6,79.0,4,1125,True,0,0,5.0,False,39.5,316.0,0.07,0.12,0.15,4.99,0.0,454.24657534246575
1123,11404636,0.75,False,Centrum-West,52.38,4.895,Entire home/apt,4,2,3,2,110.0,3,1125,True,0,0,4.88,False,27.5,330.0,0.08,0.17,0.18,4.99,0.0,550.0
1124,11426523,1.0,False,Westerpark,52.38,4.875,Entire home/apt,2,1,1,14,200.0,4,14,True,0,0,4.82,False,100.0,800.0,0.07,0.16,0.15,4.99,0.019178082191780823,1007.1232876712329
1125,11460770,1.0,False,Noord-West,52.4,4.895,Private room,2,1,2,3,73.0,2,1125,True,18,0,4.71,True,36.5,146.0,0.07,0.12,0.16,2.99,,
1126,11517922,1.0,False,Oud-Oost,52.34,4.91,Entire home/apt,4,2,3,6,200.0,3,24,True,0,1,5.0,False,50.0,600.0,0.05,0.14,0.26,4.99,0.0,1011.986301369863
1127,11559431,0.84,True,Centrum-Oost,52.38,4.902,Private room,4,1,1,7,126.0,1,1125,True,1,4,4.92,True,31.5,126.0,0.06,0.15,0.19,4.99,,
1128,11563135,0.0,False,IJburg - Zeeburgereiland,52.34,5.004,Entire home/apt,6,3,5,6,225.0,2,1125,True,0,0,4.83,False,37.5,450.0,0.09,0.13,0.26,4.99,,
1129,11581438,0.85,False,De Pijp - Rivierenbuurt,52.34,4.895,Hotel room,2,1,1,13,122.0,1,7,True,7,1,4.79,True,61.0,122.0,0.06,0.15,0.17,4.99,,
1130,11600796,0.98,False,De Baarsjes - Oud-West,52.38,4.863,Private room,4,1,4,7,200.0,2,14,True,8,2,4.73,True,50.0,400.0,0.1,0.22,0.2,4.99,0.1506849315068493,1016.8219178082192
1131,11620756,0.77,True,Geuzenveld - Slotermeer,52.38,4.824,Private room,4,1,1,1,79.0,1,1125,True,8,6,4.9,False,19.75,79.0,0.06,0.12,0.15,4.99,,
1132,11645006,0.25,False,Zuid,52.38,4.88,Entire home/apt,2,1,1,12,175.0,12,18,True,0,0,5.0,False,87.5,2100.0,0.07,0.23,0.19,4.99,0.4767123287671233,875.0
1133,11649293,0.8,False,IJburg - Zeeburgereiland,52.34,5.004,Entire home/apt,4,2,3,6,180.0,5,1125,True,0,0,5.0,False,45.0,900.0,0.07,0.2,0.22,4.99,0.010958904109589041,892.6027397260274
1134,11650024,0.6,False,Centrum-Oost,52.38,4.918,Private room,2,1,1,1,134.0,3,1125,True,3,9,4.97,False,67.0,402.0,0.06,0.16,0.18,4.99,0.2493150684931507,664.5890410958904
1135,11689351,0.38,False,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,2,1,1,7,171.0,3,1125,True,2,3,4.69,False,85.5,513.0,0.08,0.17,0.14,4.99,0.005479452054794521,761.2328767123288
